2006X  2453786.83 13.415 .024 13.009 .023 13.160 .003 12.818 .007 DUP
2006X  2453787.83 13.533 .017 13.098 .006 13.174 .004 12.841 .015 DUP
2006X  2453788.81 13.591 .012 13.191 .020 13.221 .007 12.843 .008 DUP
2006X  2453789.81 13.619 .012 13.231 .010 13.229 .012             SWO
2006X  2453796.82 13.920 .010 14.359 .014 13.404 .010             SWO
2006X  2453797.81 13.906 .013 14.503 .017 13.411 .012             SWO
2006X  2453800.82 13.775 .010 14.551 .014 13.301 .011             SWO
2006X  2453803.79 13.545 .015 14.441 .014 13.194 .013             SWO
2006X  2453807.75 13.256 .008 14.256 .013 13.048 .007             SWO
2006X  2453808.80 13.183 .010 14.207 .013 13.002 .008             SWO
2006X  2453810.76 13.018 .009 14.044 .014 12.972 .009             SWO
2006X  2453813.75 12.813 .009 13.794 .013 12.982 .009             SWO
2006X  2453817.82 12.852 .014 13.868 .011 13.158 .009             SWO
2006X  2453820.73 13.052 .012 14.125 .010 13.397 .012             SWO
2006X  2453826.77 13.403 .009 14.678 .014 13.677 .009             SWO
2006X  2453829.73 13.569 .010 14.883 .013 13.817 .011             SWO
2006X  2453830.73 13.630 .011 14.995 .021 13.868 .013             SWO
2006X  2453833.75 13.774 .032 15.203 .050 14.032 .011 14.025 .009 DUP
2006X  2453835.66 13.890 .027 15.356 .006 14.116 .027 14.090 .021 DUP
2006X  2453839.67 14.136 .012 15.575 .030 14.222 .014             SWO
2006X  2453843.70 14.367 .023 15.921 .010 14.474 .016 14.425 .010 DUP
2006X  2453845.67 14.475 .032 16.054 .008 14.574 .005 14.481 .028 DUP
2006X  2453846.68 14.556 .004 16.100 .008 14.591 .005 14.536 .011 DUP
2006X  2453848.71 14.639 .016 16.122 .053 14.642 .020             SWO
2006X  2453851.66 14.798 .015 16.301 .051 14.773 .022             SWO
2006X  2453859.61 15.208 .015 16.700 .075 15.061 .042             SWO
2006X  2453860.64             16.885 .051                         SWO
2006X  2453868.61 15.629 .022 17.283 .051 15.502 .027             SWO
2006ax 2453817.77 16.268 .019 16.233 .044 16.354 .023             SWO
2006ax 2453820.82 15.865 .012 15.817 .016                         SWO
2006ax 2453822.71 15.781 .015 15.700 .018 15.884 .029             SWO
2006ax 2453826.63 15.889 .017 15.772 .010 15.974 .018             SWO
2006ax 2453829.65 16.198 .013 15.955 .019 16.177 .026             SWO
2006ax 2453830.62 16.285 .013 16.045 .026 16.166 .023             SWO
2006ax 2453833.63 16.558 .008 16.374 .007 16.371 .008 15.968 .015 DUP
2006ax 2453835.56 16.666 .008 16.640 .008 16.446 .018 16.060 .016 DUP
2006ax 2453837.71 16.697 .018 16.969 .037 16.478 .041             SWO
2006ax 2453839.62 16.703 .012 17.328 .031 16.507 .025             SWO
2006ax 2453843.64 16.662 .008 17.482 .011 16.450 .009 16.106 .017 DUP
2006ax 2453845.59 16.541 .008 17.459 .012 16.377 .009             DUP
2006ax 2453848.64 16.304 .011 17.316 .039 16.223 .036             SWO
2006ax 2453851.60 16.140 .012 17.255 .030 16.093 .027             SWO
2006ax 2453855.58 15.905 .014 17.021 .023                         SWO
2006ax 2453860.66 15.729 .010 16.894 .033 16.174 .091             SWO
2006ax 2453864.57 15.882 .012 17.090 .019 16.397 .035             SWO
2006ax 2453868.65 16.137 .014                                     SWO
2006ax 2453869.57 16.181 .014 17.517 .026 16.650 .032             SWO
2006bh 2453829.90 14.881 .016 14.795 .013 14.975 .012             SWO
2006bh 2453830.89 14.908 .013 14.806 .012 14.979 .015             SWO
2006bh 2453837.93 15.463 .017                                     SWO
2006bh 2453843.88 15.818 .006 16.450 .008 15.615 .008             DUP
2006bh 2453846.91 15.694 .006 16.565 .009                         DUP
2006bh 2453848.88 15.532 .015 16.567 .057 15.366 .025             SWO
2006bh 2453851.86 15.292 .011 16.293 .037 15.311 .032             SWO
2006bh 2453855.91 15.026 .017 16.098 .042 15.272 .020             SWO
2006bh 2453860.88 14.953 .015 16.192 .042 15.542 .051             SWO
2006bh 2453863.90 15.201 .015 16.431 .025 15.763 .025             SWO
2006bh 2453864.87 15.270 .015 16.540 .025 15.791 .026             SWO
2006bh 2453868.86 15.515 .016 16.872 .042 16.061 .044             SWO
2006eq 2453980.54 18.398 .046 18.412 .086 18.353 .188             SWO
2006eq 2453982.51 18.419 .044 18.782 .094 18.585 .170             SWO
2006eq 2453987.49 18.745 .086 19.572 .240 18.631 .253             SWO
2006eq 2453995.54 18.525 .046 19.334 .143                         SWO
2006eq 2453996.64                         18.355 .164             SWO
2006eq 2453999.51 18.437 .043 19.064 .134                         SWO
2006eq 2454000.54                         18.742 .297             SWO
2006eq 2454002.49 18.507 .061                                     SWO
2006eq 2454011.48 18.947 .077                                     SWO
2006eq 2454012.54 19.050 .035             19.746 .304             DUP
2006eq 2454015.49 19.161 .042 20.282 .158 19.877 .316             DUP
2006eq 2454016.49 19.253 .030 20.382 .130 20.064 .193             DUP
2006gt 2454002.67 18.020 .038 17.907 .065 18.148 .124             SWO
2006gt 2454006.68 18.236 .056 18.186 .075 18.636 .209             SWO
2006gt 2454010.74 18.317 .053                                     SWO
2006gt 2454011.73 18.339 .049 18.635 .101                         SWO
2006gt 2454013.69 18.452 .032 18.916 .037 18.618 .056             DUP
2006gt 2454017.75 18.403 .037 19.080 .076 18.597 .115             DUP
2006gt 2454027.66 18.320 .057 18.850 .163                         SWO
2006gt 2454038.55 19.019 .047 20.222 .117 19.739 .120             DUP
2006gt 2454040.61 19.145 .042 20.574 .142 19.725 .190             DUP
2006gt 2454048.63 19.651 .058                                     DUP
2006mr 2454047.68 14.747 .009 14.687 .025 14.590 .021             SWO
2006mr 2454049.71 14.444 .005 14.312 .017 14.176 .034             DUP
2006mr 2454053.79 14.044 .010 13.982 .017 13.901 .006             SWO
2006mr 2454057.63 14.001 .006 14.132 .009 13.903 .018             SWO
2006mr 2454063.77 14.309 .018 14.796 .016 14.434 .014             SWO
2006mr 2454067.79 14.656 .016 15.518 .019 14.955 .016             SWO
2006mr 2454070.78 14.988 .013 15.970 .022 15.399 .027             SWO
2006mr 2454072.72 15.159 .022 16.272 .026 15.543 .025             SWO
2006mr 2454073.74 15.309 .007 16.306 .014 15.646 .021             DUP
2006mr 2454077.75 15.573 .016 16.833 .043 16.043 .046             SWO
2006mr 2454082.73 15.957 .020 17.400 .087 16.351 .061             SWO
2006mr 2454086.71 16.182 .020 17.779 .107 16.619 .076             SWO
2006mr 2454090.61 16.378 .022             16.898 .057             SWO
2006mr 2454093.69 16.523 .019             17.027 .073             SWO
2006mr 2454098.69 16.760 .023                                     SWO
2006mr 2454103.70 16.915 .024             17.578 .115             SWO
2006mr 2454107.60 17.098 .031             17.704 .123             SWO
2006mr 2454109.67 17.093 .031                                     SWO
2006mr 2454111.71 17.261 .030             18.141 .271             SWO
2006mr 2454114.67 17.312 .057                                     SWO
2006mr 2454120.61                         18.624 .379             SWO
2006mr 2454128.59 18.148 .023             18.880 .094             DUP
2006mr 2454137.57 18.490 .029 20.367 .129 19.181 .143             DUP
